quantidade,largura_mm,altura_mm,profundidade_mm,espessura_mm,tipo_material,funcao,material,veio,fita_topo,fita_base,fita_esquerda,fita_direita,fita_frente,fita_fundo,nomes
"1","18","2050","620","18","mdf","side-left","mdf-white","vertical","","","","","mdf-white","","Lateral esquerda"
"1","18","2050","620","18","mdf","side-right","mdf-white","vertical","","","","","mdf-white","","Lateral direita"
"1","764","18","620","18","mdf","base","mdf-white","horizontal","","","","","mdf-white","","Base"
"1","764","18","620","18","mdf","top","mdf-white","horizontal","","","","","mdf-white","","Topo"
"1","764","2014","6","6","mdf","back","mdf-white","none","","","","","","","Fundo"
"2","764","150","18","18","metal","toe-kick","metal-black","none","","","","","","","Rodapé"
"1","764","18","584","18","mdf","divider","mdf-white","vertical","","","","","mdf-white","","Divisória entre forno e micro-ondas"
"2","396","1346","18","18","mdf","door","mdf-white","vertical","mdf-white","mdf-white","mdf-white","mdf-white","","","Porta 1 / Porta 2"
"3","18","720","580","18","mdf","side-left","mdf-white","vertical","","","","","mdf-white","","Lateral esquerda"
"3","18","720","580","18","mdf","side-right","mdf-white","vertical","","","","","mdf-white","","Lateral direita"
"1","764","18","580","18","mdf","base","mdf-white","horizontal","","","","","mdf-white","","Base"
"1","764","18","580","18","mdf","top","mdf-white","horizontal","","","","","mdf-white","","Topo"
"1","764","684","6","6","mdf","back","mdf-white","none","","","","","","","Fundo"
"2","396","716","18","18","mdf","door","mdf-white","vertical","mdf-white","mdf-white","mdf-white","mdf-white","","","Porta 1 / Porta 2"
"1","564","18","580","18","mdf","base","mdf-white","horizontal","","","","","mdf-white","","Base"
"1","564","18","580","18","mdf","top","mdf-white","horizontal","","","","","mdf-white","","Topo"
"1","564","684","6","6","mdf","back","mdf-white","none","","","","","","","Fundo"
"1","564","150","18","18","metal","toe-kick","metal-black","none","","","","","","","Rodapé"
"4","596","173","18","18","mdf","drawer-front","mdf-white","none","mdf-white","mdf-white","mdf-white","mdf-white","","","Frente gaveta 1 / Frente gaveta 2 / Frente gaveta 3 / Frente gaveta 4"
"8","15","133","520","18","mdf","drawer-side","mdf-white","none","","","","","","","Lateral gaveta 1 esquerda / Lateral gaveta 1 direita / Lateral gaveta 2 esquerda / Lateral gaveta 2 direita / Lateral gaveta 3 esquerda / Lateral gaveta 3 direita / Lateral gaveta 4 esquerda / Lateral gaveta 4 direita"
"4","538","133","18","6","mdf","back","mdf-white","none","","","","","","","Traseira gaveta 1 / Traseira gaveta 2 / Traseira gaveta 3 / Traseira gaveta 4"
"4","523","6","520","18","mdf","drawer-bottom","mdf-white","horizontal","","","","","","","Fundo gaveta 1 / Fundo gaveta 2 / Fundo gaveta 3 / Fundo gaveta 4"
"1","1164","18","580","18","mdf","base","mdf-white","horizontal","","","","","mdf-white","","Base"
"1","1164","18","580","18","mdf","top","mdf-white","horizontal","","","","","mdf-white","","Topo"
"1","1164","684","6","6","mdf","back","mdf-white","none","","","","","","","Fundo"
"1","1164","150","18","18","metal","toe-kick","metal-black","none","","","","","","","Rodapé"
"2","596","716","18","18","mdf","door","mdf-white","vertical","mdf-white","mdf-white","mdf-white","mdf-white","","","Porta 1 / Porta 2"
"1","18","700","350","18","mdf","side-left","mdf-white","vertical","","","","","mdf-white","","Lateral esquerda"
"1","18","700","350","18","mdf","side-right","mdf-white","vertical","","","","","mdf-white","","Lateral direita"
"1","764","18","350","18","mdf","base","mdf-white","horizontal","","","","","mdf-white","","Base"
"1","764","18","350","18","mdf","top","mdf-white","horizontal","","","","","mdf-white","","Topo"
"1","764","664","6","6","mdf","back","mdf-white","none","","","","","","","Fundo"
"3","762","18","330","18","mdf","shelf","mdf-white","horizontal","","","","","mdf-white","","Prateleira 1 / Prateleira 2 / Prateleira 3"
"2","396","696","18","18","mdf","door","mdf-white","vertical","mdf-white","mdf-white","mdf-white","mdf-white","","","Porta 1 / Porta 2"
